,language,count,mean_imdb_rating
1,Cantonese,1,8.1
2,English,6,8.3
3,French,14,8.307
4,Georgian,1,8.2
5,German,6,8.45
6,Greek,1,8.2
7,Hebrew,2,8.25
8,Italian,3,8.167
9,Kinyarwanda,1,8.1
10,Latin,5,8.48
11,Old English,2,8.8
12,Polish,1,8.3
13,Russian,3,8.267
14,Spanish,5,8.36
15,Tatar,1,8.1
16,Thai,1,8.1
17,Turkish,1,8.3
18,Vietnamese,1,8.4
19,Xhosa,2,8.45
20,Yiddish,1,8.1
