,country,count,mean_imdb_rating
1,Algeria,1,8.1
2,Australia,1,8.1
3,Austria,2,8.15
4,Canada,2,8.3
5,China,2,8.15
6,France,15,8.3
7,Georgia,1,8.2
8,Germany,5,8.4
9,Hong Kong,1,8.5
10,Ireland,1,8.1
11,Italy,2,8.15
12,Japan,1,8.1
13,Mexico,2,8.15
14,South Africa,2,8.1
15,Spain,5,8.32
16,Sweden,1,8.3
17,UK,14,8.314
18,USA,24,8.35
