,genre,count,mean_imdb_rating
1,Action,3,8.3
2,Adventure,33,8.37
3,Biography,5,8.2
4,Comedy,10,8.24
5,Crime,16,8.287
6,Drama,82,8.315
7,Family,6,8.3
8,Fantasy,2,8.2
9,Film-Noir,1,8.4
10,History,1,8.1
11,Horror,1,8.4
12,Music,3,8.3
13,Musical,2,8.35
14,Mystery,16,8.269
15,Romance,13,8.254
16,Sci-Fi,7,8.357
17,Sport,2,8.1
18,Thriller,10,8.23
19,War,9,8.244
20,Western,2,8.3
