,language,count,mean_imdb_rating
1,Arabic,1,8.2
2,Czech,1,8.6
3,English,3,8.167
4,French,2,8.3
5,German,4,8.25
6,Italian,3,8.4
7,Japanese,3,8.133
8,Latin,1,9.0
9,Polish,1,8.9
10,Russian,2,8.15
11,Scottish Gaelic,1,8.3
12,Sindarin,1,8.9
13,Spanish,3,8.2
14,Yiddish,1,8.4
15,Zulu,1,8.5
