,country,count,mean_imdb_rating
1,Cyprus,1,8.4
2,Germany,1,8.5
3,Italy,1,8.3
4,Morocco,1,8.5
5,Spain,1,8.3
6,UK,2,8.15
7,USA,2,8.1
