,language,count,mean_imdb_rating
0,Arabic,2,8.25
1,Cantonese,1,8.1
2,Danish,1,8.3
3,English,174,8.315
4,Estonian,1,8.2
5,French,8,8.213
6,German,6,8.3
7,Hindi,8,8.313
8,Italian,4,8.55
9,Japanese,15,8.34
10,Korean,4,8.3
11,None,6,8.233
12,Persian,2,8.3
13,Portuguese,1,8.6
14,Romany,1,8.2
15,Russian,3,8.2
16,Spanish,5,8.14
17,Swedish,5,8.16
18,Tamil,1,8.4
19,Turkish,2,8.25
