,production_co,count,mean_imdb_rating
0,AMLF,1,8.3
1,Aamir Khan Productions,2,8.4
2,Act III Communications,1,8.0
3,Alcon Entertainment,1,8.1
4,Alfred J. Hitchcock Productions,2,8.35
5,Allfilm,1,8.2
6,Altavista Films,1,8.1
7,American International Pictures (AIP),1,8.1
8,American Zoetrope,1,8.4
9,Amuse,1,8.4
10,Artcam International,1,8.2
11,Artisan Entertainment,1,8.3
12,Asghar Farhadi Productions,1,8.3
13,Ashton Productions,1,8.2
14,Atresmedia Cine,1,8.1
15,Avsar Film,1,8.3
16,Barunson E&A,1,8.6
17,Bavaria Film,1,8.3
18,Be Gentlemen Limited Partnership,1,8.3
19,Belarusfilm,1,8.3
20,Block 2 Pictures,1,8.1
21,Blueprint Pictures,1,8.2
22,Bold Films,1,8.5
23,Brandywine Productions,1,8.4
24,British Film Institute (BFI),1,8.1
25,Brooksfilms,1,8.1
26,Bryna Productions,1,8.4
27,Buena Vista Home Entertainment,1,8.2
28,Buster Keaton Productions,2,8.15
29,CJ Entertainment,2,8.1
30,Canal+,1,8.1
31,Carolco Pictures,1,8.5
32,Castle Rock Entertainment,3,8.667
33,Cecchi Gori Pictures,1,8.6
34,Channel Four Films,1,8.1
35,Charles Chaplin Productions,5,8.38
36,Chartoff-Winkler Productions,2,8.15
37,Chernin Entertainment,1,8.1
38,Cinematograph AB,1,8.1
39,Claudie Ossard Productions,1,8.3
40,Columbia Pictures,6,8.217
41,Compagnie Industrielle et Commerciale Cinématographique (CICC),1,8.1
42,Constantin Film,1,8.2
43,Cristaldifilm,1,8.5
44,DENTSU Music And Entertainment,1,8.4
45,Daiei,1,8.2
46,Danmarks Radio (DR),1,8.3
47,DreamWorks,1,8.0
48,DreamWorks Animation,1,8.1
49,Dreamworks Pictures,5,8.36
50,EMI Films,1,8.1
51,Edward Small Productions,1,8.4
52,Egg Films,1,8.4
53,Element Pictures,1,8.1
54,Estudios Picasso,1,8.2
55,Exclusive Media Group,1,8.1
56,Fantasy Films,1,8.7
57,Focus Features,1,8.3
58,FortyFour Studios,1,8.4
59,Forum Sarajevo,1,8.2
60,Fox 2000 Pictures,1,8.8
61,Fox Searchlight Pictures,1,8.1
62,Gaumont,1,8.5
63,Greenwich Film Productions,1,8.2
64,HandMade Films,1,8.1
65,Hell's Kitchen Films,1,8.1
66,Hemdale,1,8.1
67,Hollywood Pictures,1,8.1
68,Horizon Pictures,1,8.1
69,Horizon Pictures (II),2,8.2
70,Icon Entertainment International,1,8.3
71,Igor Film,1,8.1
72,Jalem Productions,1,8.1
73,Jar Pictures,1,8.2
74,Kanun parvaresh fekri,1,8.3
75,Kurosawa Production Co.,2,8.3
76,Les Films du Carrosse,1,8.1
77,Liberty Films (II),1,8.6
78,Lilies Films,1,8.1
79,Lionsgate,1,8.2
80,Live Entertainment,1,8.3
81,London Film Productions,1,8.1
82,Lucasfilm,3,8.533
83,Marvel Studios,2,8.4
84,Matchbox Pictures,1,8.3
85,Matten Productions,1,8.1
86,Melampo Cinematografica,1,8.6
87,Melodrama Pictures,1,8.1
88,Metro-Goldwyn-Mayer (MGM),5,8.22
89,Miramax,2,8.5
90,Mooz Films,1,8.4
91,Mosfilm,2,8.15
92,Natant,1,8.3
93,Nero-Film AG,1,8.3
94,New Line Cinema,4,8.725
95,New Regency Productions,2,8.15
96,Newmarket Capital Group,1,8.4
97,Nibariki,1,8.1
98,O2 Filmes,1,8.6
99,Orion-Nova Productions,1,9.0
100,Pakula-Mulligan,1,8.2
101,Panorama Studios,1,8.2
102,Paramount Pictures,11,8.482
103,Paramount Vantage,3,8.133
104,Participant,2,8.15
105,Pathé Consortium Cinéma,1,8.2
106,Peregrine,1,8.1
107,Personafilm,1,8.2
108,Pixar Animation Studios,4,8.125
109,PolyGram Filmed Entertainment,2,8.3
110,Polygram Filmed Entertainment,1,8.1
111,Produzioni De Sica (PDS),1,8.3
112,Produzioni Europee Associate (PEA),2,8.55
113,Python (Monty) Pictures,1,8.2
114,Quad Productions,1,8.5
115,R.P. Productions,1,8.5
116,RKO Radio Pictures,1,8.3
117,ROMP,1,8.2
118,Rafran Cinematografica,1,8.5
119,Red Granite Pictures,1,8.2
120,Road Movies Filmproduktion,1,8.1
121,Romaine Film Corporation,1,8.2
122,Roxlom Films Inc.,1,8.2
123,Rupam Chitra,1,8.4
124,Selznick International Pictures,2,8.1
125,Shamley Productions,1,8.5
126,Shinchosha Company,1,8.5
127,Shochiku,2,8.4
128,Société générale des films,1,8.1
129,Sony Pictures Entertainment (SPE),1,8.4
130,Stage 6 Films,1,8.1
131,Strong Heart/Demme Production,1,8.6
132,Summit Entertainment,2,8.15
133,Svensk Filmindustri (SF),2,8.2
134,The Ladd Company,2,8.25
135,The Mirisch Company,1,8.2
136,The Mirisch Corporation,1,8.3
137,The SPA Studios,1,8.2
138,The Weinstein Company,1,8.4
139,Think Music,1,8.4
140,Toho Company,2,8.45
141,Tokuma Japan Communications,1,8.2
142,Tokuma Shoten,1,8.6
143,Tornasol Films,1,8.2
144,Touchstone Pictures,2,8.3
145,Twentieth Century Fox,5,8.18
146,United Artists,1,8.1
147,Universal Pictures,8,8.325
148,Universum Film (UFA),1,8.3
149,Vinod Chopra Productions,1,8.4
150,Walt Disney Pictures,6,8.383
151,Warner Bros.,19,8.384
152,Warner Independent Pictures (WIP),1,8.1
153,Wiedemann & Berg Filmproduktion,1,8.4
154,Zanuck/Brown Productions,1,8.3
155,micro_scope,1,8.3
