,language,count,mean_imdb_rating
1,Arabic,1,8.4
2,Cantonese,1,8.1
3,French,1,8.1
4,German,1,8.2
5,Hebrew,1,8.4
6,Hungarian,1,8.1
7,Italian,2,8.2
8,Latin,1,8.9
9,Sicilian,1,9.0
10,Spanish,2,8.15
